icd_class,icd_class_short,icd3,age_band,sex,deaths,age_band_label,age_band_order
II,Новообразования,C07,65_69,муж,1,65-69,14
II,Новообразования,C07,70_74,муж,3,70-74,15
II,Новообразования,C07,75_79,жен,3,75-79,16
II,Новообразования,C07,80_plus,жен,1,80+,17
II,Новообразования,C08,45_49,муж,1,45-49,10
II,Новообразования,C08,55_59,муж,1,55-59,12
II,Новообразования,C08,60_64,муж,1,60-64,13
II,Новообразования,C08,65_69,жен,3,65-69,14
II,Новообразования,C08,65_69,муж,2,65-69,14
II,Новообразования,C08,70_74,жен,1,70-74,15
II,Новообразования,C08,70_74,муж,3,70-74,15
II,Новообразования,C08,80_plus,жен,1,80+,17
II,Новообразования,C09,40_44,жен,1,40-44,9
II,Новообразования,C09,45_49,муж,1,45-49,10
II,Новообразования,C09,50_54,жен,1,50-54,11
II,Новообразования,C09,50_54,муж,1,50-54,11
II,Новообразования,C09,65_69,жен,1,65-69,14
II,Новообразования,C09,65_69,муж,3,65-69,14
II,Новообразования,C09,70_74,муж,2,70-74,15
II,Новообразования,C09,75_79,муж,1,75-79,16
II,Новообразования,C10,35_39,муж,2,35-39,8
II,Новообразования,C10,40_44,муж,4,40-44,9
II,Новообразования,C10,45_49,жен,1,45-49,10
II,Новообразования,C10,45_49,муж,2,45-49,10
II,Новообразования,C10,50_54,жен,3,50-54,11
II,Новообразования,C10,50_54,муж,5,50-54,11
II,Новообразования,C10,55_59,жен,4,55-59,12
II,Новообразования,C10,55_59,муж,12,55-59,12
II,Новообразования,C10,60_64,жен,7,60-64,13
II,Новообразования,C10,60_64,муж,23,60-64,13
II,Новообразования,C10,65_69,жен,6,65-69,14
II,Новообразования,C10,65_69,муж,17,65-69,14
II,Новообразования,C10,70_74,жен,2,70-74,15
II,Новообразования,C10,70_74,муж,11,70-74,15
II,Новообразования,C10,75_79,жен,1,75-79,16
II,Новообразования,C10,75_79,муж,4,75-79,16
II,Новообразования,C10,80_plus,жен,1,80+,17
II,Новообразования,C10,80_plus,муж,1,80+,17
II,Новообразования,C11,40_44,муж,1,40-44,9
II,Новообразования,C11,45_49,муж,1,45-49,10
II,Новообразования,C11,50_54,жен,1,50-54,11
II,Новообразования,C11,50_54,муж,3,50-54,11
II,Новообразования,C11,55_59,муж,1,55-59,12
II,Новообразования,C12,40_44,муж,1,40-44,9
II,Новообразования,C12,65_69,муж,1,65-69,14
II,Новообразования,C12,75_79,муж,2,75-79,16
II,Новообразования,C13,40_44,жен,1,40-44,9
II,Новообразования,C13,40_44,муж,3,40-44,9
II,Новообразования,C13,45_49,муж,6,45-49,10
II,Новообразования,C13,50_54,жен,1,50-54,11
II,Новообразования,C13,50_54,муж,7,50-54,11
II,Новообразования,C13,55_59,муж,9,55-59,12
II,Новообразования,C13,60_64,жен,3,60-64,13
II,Новообразования,C13,60_64,муж,14,60-64,13
II,Новообразования,C13,65_69,жен,2,65-69,14
II,Новообразования,C13,65_69,муж,12,65-69,14
II,Новообразования,C13,70_74,жен,1,70-74,15
II,Новообразования,C13,70_74,муж,11,70-74,15
II,Новообразования,C13,75_79,жен,1,75-79,16
II,Новообразования,C13,75_79,муж,2,75-79,16
II,Новообразования,C14,45_49,жен,1,45-49,10
II,Новообразования,C14,45_49,муж,4,45-49,10
II,Новообразования,C14,50_54,жен,1,50-54,11
II,Новообразования,C14,50_54,муж,3,50-54,11
II,Новообразования,C14,55_59,муж,1,55-59,12
II,Новообразования,C14,60_64,муж,1,60-64,13
II,Новообразования,C14,65_69,муж,2,65-69,14
II,Новообразования,C14,70_74,жен,1,70-74,15
II,Новообразования,C14,70_74,муж,2,70-74,15
II,Новообразования,C14,75_79,муж,1,75-79,16
II,Новообразования,C15,30_34,муж,1,30-34,7
II,Новообразования,C15,35_39,жен,1,35-39,8
II,Новообразования,C15,35_39,муж,1,35-39,8
II,Новообразования,C15,40_44,жен,1,40-44,9
II,Новообразования,C15,40_44,муж,7,40-44,9
II,Новообразования,C15,45_49,жен,2,45-49,10
II,Новообразования,C15,45_49,муж,10,45-49,10
II,Новообразования,C15,50_54,жен,6,50-54,11
II,Новообразования,C15,50_54,муж,19,50-54,11
II,Новообразования,C15,55_59,жен,12,55-59,12
II,Новообразования,C15,55_59,муж,45,55-59,12
II,Новообразования,C15,60_64,жен,12,60-64,13
II,Новообразования,C15,60_64,муж,61,60-64,13
II,Новообразования,C15,65_69,жен,14,65-69,14
II,Новообразования,C15,65_69,муж,67,65-69,14
II,Новообразования,C15,70_74,жен,15,70-74,15
II,Новообразования,C15,70_74,муж,47,70-74,15
