year,mo_key,mo_id,mo_name,age_band,population,icd_class,deaths,standard_weight,age_specific_rate_per100k,weighted_component
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XII,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XIII,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XIV,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XV,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XVI,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XVII,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XVIII,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XIX,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,5_9,511.0,XXII,0,0.05624730397849819,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,I,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,II,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,III,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,IV,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,V,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,VI,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,VIII,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,IX,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,X,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XI,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XII,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XIII,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XIV,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XV,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XVI,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XVII,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XVIII,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XIX,1,0.05255790224640807,158.9825119236884,8.35578732057362
2016,александровск-сахалинский,368,Александровск-Сахалинский,10_14,629.0,XXII,0,0.05255790224640807,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,I,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,II,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,III,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,IV,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,V,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,VI,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,VIII,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,IX,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,X,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XI,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XII,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XIII,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XIV,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XV,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XVI,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XVII,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XVIII,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XIX,1,0.04476225238079437,137.36263736263737,6.148661041317909
2016,александровск-сахалинский,368,Александровск-Сахалинский,15_19,728.0,XXII,0,0.04476225238079437,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,I,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,II,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,III,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,IV,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,V,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,VI,0,0.05039071573149285,0.0,0.0
