year,mo_key,mo_id,mo_name,icd_class,deaths,population,asmr_per100k,crude_rate_per100k,icd_class_short,stability_flag,regional_deaths,regional_population,regional_asmr_per100k,asmr_ratio_vs_region,crude_rank_within_class_year,asmr_rank_within_class_year,rank_shift_to_higher_risk
2016,анивский,360,Анивский,XI,18,20999.0,100.43841303243825,85.7183675413115,Пищеварение,low_count,577,482192.0,119.66187742641935,0.8393518068793321,13.0,12.0,1.0
2016,анивский,360,Анивский,XII,0,20999.0,0.0,0.0,Кожа,very_low_count,7,482192.0,1.4517038855891429,0.0,5.0,5.0,0.0
2016,анивский,360,Анивский,XIII,1,20999.0,5.4047474256403385,4.76213153007286,Костно-мышечные,very_low_count,10,482192.0,2.073862693698776,2.606125970664366,3.0,3.0,0.0
2016,анивский,360,Анивский,XIV,2,20999.0,11.73828490990529,9.52426306014572,Мочеполовая система,very_low_count,105,482192.0,21.775558283837142,0.5390578168835288,14.0,11.0,3.0
2016,анивский,360,Анивский,XIX,29,20999.0,140.3933161401905,138.10181437211295,Травмы и отравления,ok,777,482192.0,161.13913130039487,0.871255262500267,12.0,12.0,0.0
2016,анивский,360,Анивский,XV,0,20999.0,0.0,0.0,Беременность и роды,very_low_count,2,482192.0,0.41477253873975517,0.0,3.0,3.0,0.0
2016,анивский,360,Анивский,XVI,0,20999.0,0.0,0.0,Перинатальные состояния,very_low_count,11,482192.0,2.281248963068653,0.0,8.0,8.0,0.0
2016,анивский,360,Анивский,XVII,0,20999.0,0.0,0.0,Врожденные аномалии,very_low_count,18,482192.0,3.732952848657796,0.0,10.0,10.0,0.0
2016,анивский,360,Анивский,XVIII,1,20999.0,5.1469278677579124,4.76213153007286,Симптомы и неточные причины,very_low_count,176,482192.0,36.49998340909845,0.14101178650056384,17.0,17.0,0.0
2016,анивский,360,Анивский,XXII,0,20999.0,0.0,0.0,Специальные коды,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,долинский,363,Долинский,I,4,22378.0,17.720664132230837,17.8746983644651,Инфекционные болезни,very_low_count,71,482192.0,14.724425125261307,1.2034876731336128,9.0,9.0,0.0
2016,долинский,363,Долинский,II,74,22378.0,311.64771612482014,330.68191974260435,Новообразования,ok,1143,482192.0,237.04250588977004,1.314733469235864,7.0,6.0,1.0
2016,долинский,363,Долинский,III,1,22378.0,4.540552289166949,4.468674591116275,Кровь и иммунитет,very_low_count,2,482192.0,0.4147725387397551,10.947089947089948,2.0,2.0,0.0
2016,долинский,363,Долинский,IV,5,22378.0,21.29786391035022,22.343372955581376,Эндокринные и обмен,low_count,85,482192.0,17.627832896439593,1.2081952464305403,7.0,8.0,-1.0
2016,долинский,363,Долинский,IX,214,22378.0,936.0531315712059,956.2963624988829,Кровообращение,ok,2861,482192.0,593.3321166672197,1.5776208724871825,5.0,3.0,2.0
2016,долинский,363,Долинский,V,1,22378.0,4.49336916968068,4.468674591116275,Психические расстройства,very_low_count,15,482192.0,3.1107940405481633,1.4444444444444442,5.0,5.0,0.0
2016,долинский,363,Долинский,VI,9,22378.0,40.086611229434006,40.21807132004648,Нервная система,low_count,64,482192.0,13.272721239672164,3.0202255065536314,3.0,3.0,0.0
2016,долинский,363,Долинский,VIII,0,22378.0,0.0,0.0,Ухо,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,долинский,363,Долинский,X,11,22378.0,46.91472209787171,49.15542050227903,Дыхание,low_count,447,482192.0,92.70166240833527,0.5060828563270012,14.0,14.0,0.0
2016,долинский,363,Долинский,XI,38,22378.0,171.83543205052547,169.80963446241844,Пищеварение,ok,577,482192.0,119.66187742641935,1.436008156868405,7.0,8.0,-1.0
2016,долинский,363,Долинский,XII,0,22378.0,0.0,0.0,Кожа,very_low_count,7,482192.0,1.4517038855891429,0.0,5.0,5.0,0.0
2016,долинский,363,Долинский,XIII,0,22378.0,0.0,0.0,Костно-мышечные,very_low_count,10,482192.0,2.073862693698776,0.0,5.0,5.0,0.0
2016,долинский,363,Долинский,XIV,10,22378.0,43.9463863071684,44.68674591116275,Мочеполовая система,low_count,105,482192.0,21.775558283837142,2.018151991069157,2.0,4.0,-2.0
2016,долинский,363,Долинский,XIX,47,22378.0,224.9724848918622,210.02770578246495,Травмы и отравления,ok,777,482192.0,161.13913130039487,1.3961381265762782,9.0,8.0,1.0
2016,долинский,363,Долинский,XV,0,22378.0,0.0,0.0,Беременность и роды,very_low_count,2,482192.0,0.41477253873975517,0.0,3.0,3.0,0.0
2016,долинский,363,Долинский,XVI,0,22378.0,0.0,0.0,Перинатальные состояния,very_low_count,11,482192.0,2.281248963068653,0.0,8.0,8.0,0.0
2016,долинский,363,Долинский,XVII,2,22378.0,7.700753406416471,8.93734918223255,Врожденные аномалии,very_low_count,18,482192.0,3.732952848657796,2.0629120480815395,4.0,3.0,1.0
2016,долинский,363,Долинский,XVIII,15,22378.0,66.7971607102621,67.03011886674413,Симптомы и неточные причины,low_count,176,482192.0,36.49998340909845,1.8300600293865175,3.0,2.0,1.0
2016,долинский,363,Долинский,XXII,0,22378.0,0.0,0.0,Специальные коды,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,корсаковский,362,Корсаковский,I,3,40798.0,7.425729032590158,7.353301632432963,Инфекционные болезни,very_low_count,71,482192.0,14.724425125261307,0.5043136808003822,13.0,13.0,0.0
2016,корсаковский,362,Корсаковский,II,87,40798.0,226.31566659541488,213.2457473405559,Новообразования,ok,1143,482192.0,237.04250588977004,0.9547471907871942,10.0,12.0,-2.0
2016,корсаковский,362,Корсаковский,III,0,40798.0,0.0,0.0,Кровь и иммунитет,very_low_count,2,482192.0,0.4147725387397551,0.0,3.0,3.0,0.0
2016,корсаковский,362,Корсаковский,IV,4,40798.0,11.05104573954891,9.804402176577282,Эндокринные и обмен,very_low_count,85,482192.0,17.627832896439593,0.6269089232052433,14.0,13.0,1.0
2016,корсаковский,362,Корсаковский,IX,238,40798.0,637.290142555526,583.3619295063484,Кровообращение,ok,2861,482192.0,593.3321166672197,1.0740867124052227,11.0,13.0,-2.0
2016,корсаковский,362,Корсаковский,V,0,40798.0,0.0,0.0,Психические расстройства,very_low_count,15,482192.0,3.1107940405481633,0.0,8.0,8.0,0.0
2016,корсаковский,362,Корсаковский,VI,1,40798.0,2.50046760247197,2.4511005441443205,Нервная система,very_low_count,64,482192.0,13.272721239672164,0.1883914803392444,14.0,14.0,0.0
2016,корсаковский,362,Корсаковский,VIII,0,40798.0,0.0,0.0,Ухо,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,корсаковский,362,Корсаковский,X,48,40798.0,127.59961995826862,117.65282611892741,Дыхание,ok,447,482192.0,92.70166240833527,1.3764544954567666,6.0,3.0,3.0
2016,корсаковский,362,Корсаковский,XI,56,40798.0,141.34863445051153,137.26163047208198,Пищеварение,ok,577,482192.0,119.66187742641935,1.1812336350599837,11.0,9.0,2.0
2016,корсаковский,362,Корсаковский,XII,2,40798.0,5.255044172621863,4.902201088288641,Кожа,very_low_count,7,482192.0,1.4517038855891429,3.619914656692688,3.0,2.0,1.0
2016,корсаковский,362,Корсаковский,XIII,0,40798.0,0.0,0.0,Костно-мышечные,very_low_count,10,482192.0,2.073862693698776,0.0,5.0,5.0,0.0
2016,корсаковский,362,Корсаковский,XIV,4,40798.0,11.280265609293997,9.804402176577282,Мочеполовая система,very_low_count,105,482192.0,21.775558283837142,0.5180241747311134,13.0,12.0,1.0
2016,корсаковский,362,Корсаковский,XIX,55,40798.0,138.06112875560225,134.81052992793764,Травмы и отравления,ok,777,482192.0,161.13913130039487,0.8567821338085118,13.0,13.0,0.0
2016,корсаковский,362,Корсаковский,XV,0,40798.0,0.0,0.0,Беременность и роды,very_low_count,2,482192.0,0.41477253873975517,0.0,3.0,3.0,0.0
2016,корсаковский,362,Корсаковский,XVI,1,40798.0,1.811807264495005,2.4511005441443205,Перинатальные состояния,very_low_count,11,482192.0,2.281248963068653,0.7942172440739778,6.0,7.0,-1.0
2016,корсаковский,362,Корсаковский,XVII,0,40798.0,0.0,0.0,Врожденные аномалии,very_low_count,18,482192.0,3.732952848657796,0.0,10.0,10.0,0.0
