icd_class,icd_class_short,icd3,deaths,mean_age,median_age,male_deaths,working_age_deaths,top_description,class_deaths,share_within_class,male_share,working_age_share,deaths_2016,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021,deaths_2022,deaths_2023,deaths_2024,deaths_2025,rank_within_class
IX,Кровообращение,I89,2,61.5,61.5,1,1,Другие болезни лимфатических узлов,17233,0.00011605640341205826,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,45
IX,Кровообращение,I09,1,68.0,68.0,0,0,Другие уточненные ревматические болезни сердца,17233,5.802820170602913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46
IX,Кровообращение,I10,1,64.0,64.0,0,1,Эссенциальная (первичная) гипертензия,17233,5.802820170602913e-05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47
IX,Кровообращение,I20,1,64.0,64.0,1,1,Нестабильная стенокардия,17233,5.802820170602913e-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48
IX,Кровообращение,I37,1,45.0,45.0,1,1,Стеноз клапана легочной артерии,17233,5.802820170602913e-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49
IX,Кровообращение,I38,1,45.0,45.0,0,1,Эндокардит неуточненный,17233,5.802820170602913e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
IX,Кровообращение,I49,1,78.0,78.0,1,0,Другие сердечные аритмии,17233,5.802820170602913e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
IX,Кровообращение,I50,1,41.0,41.0,1,1,Сердечная недостаточность неуточненная,17233,5.802820170602913e-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52
IX,Кровообращение,I77,1,71.0,71.0,0,0,Другие болезни артерий,17233,5.802820170602913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53
II,Новообразования,C34,2332,66.45068610634648,66.0,1745,959,"Злокачественное новообразование бронхов или легкого, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.20540826213335683,0.7482847341337907,0.41123499142367065,239.0,208.0,283.0,248.0,213.0,222.0,209.0,248.0,203.0,259.0,1
