mo_key,mo_id,mo_name,icd_class,deaths,person_years,asmr_per100k,crude_rate_per100k,icd_class_short,stability_flag,regional_deaths,regional_person_years,regional_asmr_per100k,asmr_ratio_vs_region,crude_rank_within_class,asmr_rank_within_class,rank_shift_to_higher_risk
южно-сахалинск,364,Южно-Сахалинск,III,3,565164.0,0.5270411986004587,0.5308193727838291,Кровь и иммунитет,very_low_count,20,1446576.0,1.382575129132517,0.3812025744533286,11.0,11.0,0.0
южно-сахалинск,364,Южно-Сахалинск,IV,185,565164.0,31.814640380092843,32.733861321669465,Эндокринные и обмен,ok,866,1446576.0,59.86550309143799,0.5314352797052331,16.0,17.0,-1.0
южно-сахалинск,364,Южно-Сахалинск,IX,2021,565164.0,340.04252131129476,357.5953174653729,Кровообращение,ok,6028,1446576.0,416.70814392054064,0.8160208200205832,13.0,17.0,-4.0
южно-сахалинск,364,Южно-Сахалинск,V,37,565164.0,5.999167263191548,6.546772264333893,Психические расстройства,ok,95,1446576.0,6.567231863379456,0.9135001455703764,8.0,9.0,-1.0
южно-сахалинск,364,Южно-Сахалинск,VI,360,565164.0,58.92111494687243,63.6983247340595,Нервная система,ok,1199,1446576.0,82.8853789914944,0.7108746520048951,12.0,13.0,-1.0
южно-сахалинск,364,Южно-Сахалинск,VIII,1,565164.0,0.17582101219300886,0.17693979092794304,Ухо,very_low_count,4,1446576.0,0.27651502582650345,0.6358461413352848,4.0,4.0,0.0
южно-сахалинск,364,Южно-Сахалинск,X,413,565164.0,70.24182193398376,73.07613365324048,Дыхание,ok,1219,1446576.0,84.26795412062691,0.8335531895486012,12.0,13.0,-1.0
южно-сахалинск,364,Южно-Сахалинск,XI,599,565164.0,102.68685414334068,105.98693476583789,Пищеварение,ok,2060,1446576.0,142.40523830064924,0.7210890229090156,14.0,15.0,-1.0
южно-сахалинск,364,Южно-Сахалинск,XII,27,565164.0,4.603677021946527,4.777374355054462,Кожа,low_count,48,1446576.0,3.318180309918041,1.3874101441040247,4.0,5.0,-1.0
южно-сахалинск,364,Южно-Сахалинск,XIII,29,565164.0,5.192838511127148,5.1312539369103485,Костно-мышечные,low_count,76,1446576.0,5.2537854907035655,0.98839941606214,9.0,10.0,-1.0
южно-сахалинск,364,Южно-Сахалинск,XIV,259,565164.0,43.03324846631483,45.82740585033725,Мочеполовая система,ok,838,1446576.0,57.929897910652464,0.7428504108998549,13.0,15.0,-2.0
южно-сахалинск,364,Южно-Сахалинск,XIX,962,565164.0,165.74632767239683,170.2160788726812,Травмы и отравления,ok,2748,1446576.0,189.96582274280786,0.8725060396616634,12.0,13.0,-1.0
южно-сахалинск,364,Южно-Сахалинск,XV,1,565164.0,0.1829363440402833,0.17693979092794304,Беременность и роды,very_low_count,3,1446576.0,0.20738626936987756,0.8821044160547229,3.0,3.0,0.0
южно-сахалинск,364,Южно-Сахалинск,XVI,13,565164.0,3.193539067215943,2.3002172820632594,Перинатальные состояния,low_count,33,1446576.0,2.281248963068653,1.3999081726354454,7.0,4.0,3.0
южно-сахалинск,364,Южно-Сахалинск,XVII,10,565164.0,1.9593547472088133,1.7693979092794305,Врожденные аномалии,low_count,36,1446576.0,2.4886352324385306,0.7873209868884268,11.0,11.0,0.0
южно-сахалинск,364,Южно-Сахалинск,XVIII,191,565164.0,33.86293288010568,33.79550006723712,Симптомы и неточные причины,ok,552,1446576.0,38.15907356405747,0.8874149636589086,9.0,11.0,-2.0
южно-сахалинск,364,Южно-Сахалинск,XXII,12,565164.0,2.1170792375164607,2.1232774911353163,Специальные коды,low_count,20,1446576.0,1.382575129132517,1.531258007544806,3.0,3.0,0.0
