year,municipality,icd_class,deaths
2024,Благовещенск,XVI,6
2024,Благовещенск,XVII,11
2024,Благовещенск,XVIII,53
2024,Благовещенск,XX,274
2024,Благовещенск,XXII,2
2024,Благовещенский,I,4
2024,Благовещенский,II,129
2024,Благовещенский,IV,1
2024,Благовещенский,IX,110
2024,Благовещенский,V,1
2024,Благовещенский,VI,7
2024,Благовещенский,X,10
2024,Благовещенский,XI,6
2024,Благовещенский,XVIII,5
2024,Благовещенский,XX,53
2024,Бурейский,I,1
2024,Бурейский,II,40
2024,Бурейский,IV,11
2024,Бурейский,IX,114
2024,Бурейский,VI,3
2024,Бурейский,X,14
2024,Бурейский,XI,27
2024,Бурейский,XIII,24
2024,Бурейский,XIV,3
2024,Бурейский,XVIII,6
2024,Бурейский,XX,53
2024,Завитинский,II,31
2024,Завитинский,IV,12
2024,Завитинский,IX,64
2024,Завитинский,V,1
2024,Завитинский,VI,8
2024,Завитинский,X,9
2024,Завитинский,XI,10
2024,Завитинский,XIII,6
2024,Завитинский,XIV,3
2024,Завитинский,XVIII,4
2024,Завитинский,XX,32
2024,Зейский,II,12
2024,Зейский,IV,10
2024,Зейский,IX,85
2024,Зейский,VI,9
2024,Зейский,X,1
2024,Зейский,XI,5
2024,Зейский,XIII,5
2024,Зейский,XIV,1
2024,Зейский,XVII,1
2024,Зейский,XVIII,2
2024,Зейский,XX,49
2024,Зея,I,3
2024,Зея,II,43
2024,Зея,IV,27
2024,Зея,IX,177
2024,Зея,VI,31
2024,Зея,X,10
2024,Зея,XI,29
2024,Зея,XIII,19
2024,Зея,XIV,2
2024,Зея,XVI,1
2024,Зея,XVIII,7
2024,Зея,XX,45
2024,Ивановский,I,2
2024,Ивановский,II,36
2024,Ивановский,IV,9
2024,Ивановский,IX,103
2024,Ивановский,VI,6
2024,Ивановский,X,7
2024,Ивановский,XI,11
2024,Ивановский,XIII,34
2024,Ивановский,XIV,1
2024,Ивановский,XIX,1
2024,Ивановский,XVII,1
2024,Ивановский,XVIII,3
2024,Ивановский,XX,45
2024,Константиновский,II,28
2024,Константиновский,IV,3
2024,Константиновский,IX,50
2024,Константиновский,V,1
2024,Константиновский,X,10
2024,Константиновский,XI,5
