Позиция,Код,Расшифровка,Семейство,Смертей,Доля от всех,Доля среди заполненных
Причина г,F10.1,Алкогольная зависимость,Алкогольные психические/поведенческие расстройства (F10),8,0.4972032318210068,1.0526315789473684
Причина г,Y15.2,"Y15: отравление алкоголем, намерение не установлено, место 2","Внешняя причина: алкоголь, намерение не установлено (Y15)",8,0.4972032318210068,1.0526315789473684
Причина г,Y15.4,"Y15: отравление алкоголем, намерение не установлено, место 4","Внешняя причина: алкоголь, намерение не установлено (Y15)",5,0.3107520198881293,0.6578947368421052
Причина г,J44.8,Другая уточненная хроническая обструктивная болезнь легких,Другие болезни органов дыхания (J),4,0.2486016159105034,0.5263157894736842
Причина г,K70.0,Алкогольная жировая болезнь печени,Болезни печени/поджелудочной/пищеварения (K),4,0.2486016159105034,0.5263157894736842
Причина г,I42.6,Алкогольная кардиомиопатия,Алкогольная кардиомиопатия (I42.6),4,0.2486016159105034,0.5263157894736842
Причина г,N11.8,Другие хронические тубулоинтерстициальные нефриты,Болезни мочеполовой системы (N),3,0.18645121193287756,0.39473684210526316
Прочие состояния,I42.6,Алкогольная кардиомиопатия,Алкогольная кардиомиопатия (I42.6),105,6.525792417650715,41.50197628458498
Прочие состояния,G31.2,"Дегенерация нервной системы, вызванная алкоголем",Алкогольная дегенерация нервной системы (G31.2),60,3.7290242386575514,23.715415019762844
Прочие состояния,J18.2,"Гипостатическая пневмония, возбудитель не уточнен",Пневмония (J18),39,2.4238657551274083,15.41501976284585
Прочие состояния,J18.1,"Долевая пневмония, возбудитель не уточнен",Пневмония (J18),12,0.7458048477315102,4.743083003952568
Прочие состояния,G93.6,Отек мозга,Отек мозга (G93.6),10,0.6215040397762586,3.9525691699604746
Прочие состояния,G91.1,Обструктивная гидроцефалия,Другие коды G,5,0.3107520198881293,1.9762845849802373
Прочие состояния,I48.1,Персистирующая фибрилляция предсердий,Другие болезни системы кровообращения (I),4,0.2486016159105034,1.5810276679841897
Прочие состояния,R40.2,Кома неуточненная,Симптомы и неточные причины (R),2,0.1243008079552517,0.7905138339920948
Прочие состояния,N11.8,Другие хронические тубулоинтерстициальные нефриты,Болезни мочеполовой системы (N),1,0.06215040397762585,0.3952569169960474
Прочие состояния,N26,Сморщенная почка неуточненная,Болезни мочеполовой системы (N),1,0.06215040397762585,0.3952569169960474
Прочие состояния,L89.3,МКБ-код без расшифровки в справочнике отчета,Другие коды L,1,0.06215040397762585,0.3952569169960474
Прочие состояния,G40.0,МКБ-код без расшифровки в справочнике отчета,Другие коды G,1,0.06215040397762585,0.3952569169960474
Прочие состояния,N18.5,"Хроническая болезнь почек, стадия 5",Болезни мочеполовой системы (N),1,0.06215040397762585,0.3952569169960474
Прочие состояния,G93.5,Сдавление головного мозга,Сдавление мозга (G93.5),1,0.06215040397762585,0.3952569169960474
Прочие состояния,L89.2,МКБ-код без расшифровки в справочнике отчета,Другие коды L,1,0.06215040397762585,0.3952569169960474
