Где повторяется первоначальный код,Смертей,Доля
Причина в,1103,68.55189558732133
Причина а,332,20.633934120571784
Прочие состояния,167,10.379117464263517
Причина а + Причина в,4,0.2486016159105034
Причина б + Причина в,3,0.18645121193287756
