primary_group,deaths,share,median_age
Острое токсическое действие алкоголя (T51),935,58.11062771908018,50.0
Алкогольная кардиомиопатия (I42.6),294,18.272218769422004,54.0
Алкогольная дегенерация нервной системы (G31.2),291,18.085767557489124,60.0
Психические и поведенческие расстройства вследствие алкоголя (F10),87,5.40708514605345,57.0
Алкогольная полинейропатия (G62.1),2,0.1243008079552517,64.5
