Позиция,Интерпретация,Заполнено,Доля строк,Повторяет первоначальный код,Доля повторов среди заполненных
Причина а,непосредственная причина или терминальное осложнение,596,"37,0%",336,"56,4%"
Причина б,промежуточное звено цепочки,335,"20,8%",3,"0,9%"
Причина в,"место, где чаще всего повторяется первоначальная причина",1 110,"69,0%",1 110,"100,0%"
Причина г,нижняя строка цепочки или внешняя/фоновая причина,760,"47,2%",0,"0,0%"
Прочие состояния,"состояния, способствовавшие смерти вне основной цепочки",253,"15,7%",167,"66,0%"
