primary_group,deaths,share,median_age,mean_age,male,female,male_share
Острое токсическое действие алкоголя (T51),935,58.11062771908018,50.0,50.59465240641711,715,220,76.47058823529412
Алкогольная кардиомиопатия (I42.6),294,18.272218769422004,54.0,53.72789115646258,233,61,79.25170068027211
Алкогольная дегенерация нервной системы (G31.2),291,18.085767557489124,60.0,58.77319587628866,201,90,69.0721649484536
Психические и поведенческие расстройства вследствие алкоголя (F10),87,5.40708514605345,57.0,56.310344827586206,61,26,70.11494252873564
Алкогольная полинейропатия (G62.1),2,0.1243008079552517,64.5,64.5,1,1,50.0
