Год,Алкогольная дегенерация нервной системы (G31.2),Алкогольная кардиомиопатия (I42.6),Алкогольная полинейропатия (G62.1),Острое токсическое действие алкоголя (T51),Психические и поведенческие расстройства вследствие алкоголя (F10)
2016,1,46,0,95,1
2017,17,19,1,83,64
2018,33,23,1,108,16
2019,37,23,0,114,5
2020,37,33,0,109,1
2021,33,29,0,95,0
2022,32,27,0,68,0
2023,23,34,0,99,0
2024,26,33,0,70,0
2025,41,23,0,64,0
2026,11,4,0,30,0
